# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
   87       3.227312464264e-10       1.325404975955e-11       1.823737199903e-12 
   88       3.267042744314e-10       1.287056417112e-11       1.781871116533e-12 
   89       3.307084373297e-10       1.250201953082e-11       1.741457611589e-12 
   90       3.347432174394e-10       1.214758300963e-11       1.702421988286e-12 
   91       3.388078207093e-10       1.180620243522e-11       1.664667111108e-12 
   92       3.429011648682e-10       1.147659850615e-11       1.628072592424e-12 
   93       3.470222208579e-10       1.115756679278e-11       1.592524984867e-12 
   94       3.511711216150e-10       1.084895260803e-11       1.558015319551e-12 
   95       3.553481989145e-10       1.055080904436e-11       1.524554802006e-12 
   96       3.595536380372e-10       1.026309676524e-11       1.492144730956e-12 
   97       3.637874707674e-10       9.985680471824e-12       1.460776110550e-12 
   98       3.680495683921e-10       9.718325369507e-12       1.430429262590e-12 
   99       3.723396346991e-10       9.460693634573e-12       1.401073438766e-12 
  100       3.766571989758e-10       9.212340880799e-12       1.372666432883e-12 
  101       3.810016090073e-10       8.972712626078e-12       1.345154193094e-12 
  102       3.853720240752e-10       8.741140759031e-12       1.318470434130e-12 
  103       3.897674079558e-10       8.516840005620e-12       1.292536249530e-12 
  104       3.941867532403e-10       8.299085120597e-12       1.267278604526e-12 
  105       3.986298038846e-10       8.087777332410e-12       1.242689494951e-12 
  106       4.030964176668e-10       7.882948185722e-12       1.218774094124e-12 
  107       4.075863391764e-10       7.684584120844e-12       1.195532407718e-12 
  108       4.120991953546e-10       7.492624926338e-12       1.172959093464e-12 
  109       4.166344910350e-10       7.306962191619e-12       1.151043280870e-12 
  110       4.211916044837e-10       7.127437759560e-12       1.129768390923e-12 
  111       4.257697829404e-10       6.953842179092e-12       1.109111955805e-12 
  112       4.303681381583e-10       6.785913157810e-12       1.089045438601e-12 
  113       4.349856419450e-10       6.623334014575e-12       1.069534053010e-12 
  114       4.396211217024e-10       6.465732132115e-12       1.050536583058e-12 
  115       4.442732559682e-10       6.312677409632e-12       1.032005202803e-12 
  116       4.489407708432e-10       6.163776107672e-12       1.013896081570e-12 
  117       4.536230659054e-10       6.018968635110e-12       9.962030478665e-13 
  118       4.583196563754e-10       5.878265230194e-12       9.789276988601e-13 
  119       4.630299763839e-10       5.741653111525e-12       9.620688970743e-13 
  120       4.677533762878e-10       5.609095774097e-12       9.456226854643e-13 
  121       4.724891199877e-10       5.480532285330e-12       9.295822024897e-13 
  122       4.772363822436e-10       5.355876581104e-12       9.139375971875e-13 
  123       4.819942459925e-10       5.235016761801e-12       8.986759442453e-13 
  124       4.867616996646e-10       5.117814388334e-12       8.837811590746e-13 
  125       4.915376345000e-10       5.004103778190e-12       8.692339128840e-13 
  126       4.963208418654e-10       4.893691301460e-12       8.550115477521e-13 
  127       5.011100105710e-10       4.786354676877e-12       8.410879917009e-13 
  128       5.059037241869e-10       4.681842267854e-12       8.274336737690e-13 
  129       5.107006063053e-10       4.579926912520e-12       8.140226429862e-13 
  130       5.154997800434e-10       4.480575585670e-12       8.008549886594e-13 
  131       5.203004541121e-10       4.383797105235e-12       7.879367305745e-13 
  132       5.251017777807e-10       4.289588956003e-12       7.752728025162e-13 
  133       5.299028392523e-10       4.197936975887e-12       7.628670188894e-13 
  134       5.347026640387e-10       4.108815042179e-12       7.507220413411e-13 
  135       5.395002133361e-10       4.022184757816e-12       7.388393453818e-13 
  136       5.442943824003e-10       3.937995137642e-12       7.272191870075e-13 
  137       5.490839989221e-10       3.856182294665e-12       7.158605693209e-13 
  138       5.538678214023e-10       3.776669126323e-12       7.047612091535e-13 
  139       5.586445375278e-10       3.699365000742e-12       6.939175036870e-13 
  140       5.634127625458e-10       3.624165443001e-12       6.833244970750e-13 
  141       5.681710376403e-10       3.550951821389e-12       6.729758470650e-13 
  142       5.729178283065e-10       3.479591033670e-12       6.628637916193e-13 
  143       5.776515227267e-10       3.409935193343e-12       6.529791155376e-13 
  144       5.823705675866e-10       3.341852497231e-12       6.433130332385e-13 
  145       5.870738940461e-10       3.275323920315e-12       6.338631167706e-13 
  146       5.917605308707e-10       3.210355501693e-12       6.246278914943e-13 
  147       5.964294699338e-10       3.146947885903e-12       6.156049502312e-13 
  148       6.010796653816e-10       3.085096188388e-12       6.067909308980e-13 
  149       6.057100327989e-10       3.024789860961e-12       5.981814941409e-13 
  150       6.103194483737e-10       2.966012557269e-12       5.897713009695e-13 
  151       6.149067480629e-10       2.908741998258e-12       5.815539903910e-13 
  152       6.194707267571e-10       2.852949837635e-12       5.735221570441e-13 
  153       6.240101374464e-10       2.798601527338e-12       5.656673288333e-13 
  154       6.285236903848e-10       2.745656182992e-12       5.579799445626e-13 
  155       6.330100522563e-10       2.694066449383e-12       5.504493315702e-13 
  156       6.374678453394e-10       2.643778365915e-12       5.430636833620e-13 
  157       6.418956466727e-10       2.594731232076e-12       5.358100372458e-13 
  158       6.462919872202e-10       2.546857472907e-12       5.286742519658e-13 
  159       6.506553510361e-10       2.500082504460e-12       5.216409853362e-13 
  160       6.549841744305e-10       2.454324599267e-12       5.146936718752e-13 
  161       6.592769532855e-10       2.409511558009e-12       5.078181841752e-13 
  162       6.635325774232e-10       2.365632663789e-12       5.010142278274e-13 
  163       6.677500243489e-10       2.322691086584e-12       4.942849161272e-13 
  164       6.719282534251e-10       2.280687433505e-12       4.876331715946e-13 
  165       6.760662055344e-10       2.239619691588e-12       4.810617205569e-13 
  166       6.801628027417e-10       2.199483170579e-12       4.745730877313e-13 
  167       6.842169479577e-10       2.160270445719e-12       4.681695908073e-13 
  168       6.882275246013e-10       2.121971300540e-12       4.618533350290e-13 
  169       6.921933962624e-10       2.084572669643e-12       4.556262077779e-13 
  170       6.961134063651e-10       2.048058581493e-12       4.494898731551e-13 
