# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
   88       2.961358905072e-10       1.596342290484e-11       1.307727094312e-12 
   89       2.996395872127e-10       1.551724494720e-11       1.281150721826e-12 
   90       3.031722724791e-10       1.508786597952e-11       1.255401703305e-12 
   91       3.067335199239e-10       1.467403886247e-11       1.230419324459e-12 
   92       3.103226456993e-10       1.427424434898e-11       1.206127950075e-12 
   93       3.139389892080e-10       1.388705210677e-11       1.182457006898e-12 
   94       3.175828272474e-10       1.351228620234e-11       1.159405512340e-12 
   95       3.212545778141e-10       1.315001843720e-11       1.136986323812e-12 
   96       3.249545139082e-10       1.280020938826e-11       1.115206253697e-12 
   97       3.286827566222e-10       1.246270414347e-11       1.094065825015e-12 
   98       3.324392682314e-10       1.213722803739e-11       1.073559027102e-12 
   99       3.362238452829e-10       1.182338238680e-11       1.053673071283e-12 
  100       3.400361116852e-10       1.152064022634e-11       1.034388146541e-12 
  101       3.438755117982e-10       1.122834204406e-11       1.015677175197e-12 
  102       3.477413035224e-10       1.094569151707e-11       9.975055685793e-13 
  103       3.516325513885e-10       1.067175124711e-11       9.798309826961e-13 
  104       3.555483615336e-10       1.040565565328e-11       9.626134637886e-13 
  105       3.594886376635e-10       1.014729158775e-11       9.458479720767e-13 
  106       3.634534148021e-10       9.896702139263e-12       9.295358164548e-13 
  107       3.674426223234e-10       9.653875830861e-12       9.136745283639e-13 
  108       3.714560796985e-10       9.418744741826e-12       8.982577316405e-13 
  109       3.754934922441e-10       9.191182629628e-12       8.832750123636e-13 
  110       3.795544468696e-10       8.971003051868e-12       8.687117887028e-13 
  111       3.836384078248e-10       8.757957488224e-12       8.545491807664e-13 
  112       3.877447124478e-10       8.551733462402e-12       8.407638804490e-13 
  113       3.918725669127e-10       8.351952664074e-12       8.273280212797e-13 
  114       3.960210419770e-10       8.158169070830e-12       8.142090482692e-13 
  115       4.001890687295e-10       7.969867070117e-12       8.013695877587e-13 
  116       4.043756200585e-10       7.786574752482e-12       7.887761971687e-13 
  117       4.085802891789e-10       7.608223433062e-12       7.764270993670e-13 
  118       4.128027737853e-10       7.434828517885e-12       7.643275915663e-13 
  119       4.170426940430e-10       7.266377393345e-12       7.524814160625e-13 
  120       4.212995899782e-10       7.102828566463e-12       7.408907085954e-13 
  121       4.255729188670e-10       6.944110805149e-12       7.295559467109e-13 
  122       4.298620526261e-10       6.790122278454e-12       7.184758981225e-13 
  123       4.341662752016e-10       6.640729696839e-12       7.076475690727e-13 
  124       4.384847799596e-10       6.495767452428e-12       6.970661526947e-13 
  125       4.428166670755e-10       6.355036759270e-12       6.867249773737e-13 
  126       4.471609409238e-10       6.218304793597e-12       6.766154551093e-13 
  127       4.515165074681e-10       6.085303834084e-12       6.667270298759e-13 
  128       4.558821716506e-10       5.955730402112e-12       6.570471259852e-13 
  129       4.602567767424e-10       5.829310644675e-12       6.475640889148e-13 
  130       4.646396452221e-10       5.706006418753e-12       6.382764822301e-13 
  131       4.690301815547e-10       5.585830295159e-12       6.291847177079e-13 
  132       4.734277329873e-10       5.468780960486e-12       6.202881243626e-13 
  133       4.778315879551e-10       5.354842831380e-12       6.115849182211e-13 
  134       4.822409744871e-10       5.243985668802e-12       6.030721720971e-13 
  135       4.866550586111e-10       5.136164192300e-12       5.947457853658e-13 
