# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
    2       1.366750795785e-10       8.090768614167e-09       4.412120170051e-10 
    3       1.295173812126e-10       4.988207077870e-09       3.123988036442e-10 
    4       1.227285279176e-10       3.461818469079e-09       2.360536359741e-10 
    5       1.176655819997e-10       2.576911776827e-09       1.860589505623e-10 
    6       1.142234912374e-10       2.007661037036e-09       1.510608068706e-10 
    7       1.120117771488e-10       1.616466611282e-09       1.253953235684e-10 
    8       1.107686053416e-10       1.333753243178e-09       1.059699190494e-10 
    9       1.102611620977e-10       1.121397069385e-09       9.095247206494e-11 
   10       1.102391033777e-10       9.572142991488e-10       7.909465529103e-11 
   11       1.106660289547e-10       8.070913433785e-10       6.990408830405e-11 
   12       1.113805837498e-10       7.042948537956e-10       6.168866359061e-11 
   13       1.123260737586e-10       6.199858136460e-10       5.504204198974e-11 
   14       1.134924587336e-10       5.499094860602e-10       4.931702525841e-11 
   15       1.148352508171e-10       4.909767262603e-10       4.447918957830e-11 
   16       1.162770608299e-10       4.409150439055e-10       4.030404398629e-11 
   17       1.178553159765e-10       3.980089413796e-10       3.665772511532e-11 
   18       1.195134459219e-10       3.608016217959e-10       3.349990315188e-11 
   19       1.212646192951e-10       3.286928971923e-10       3.077733677554e-11 
   20       1.231007354314e-10       3.004371126653e-10       2.835566891528e-11 
   21       1.250147720717e-10       2.755844874816e-10       2.618768994739e-11 
   22       1.269716528284e-10       2.535347244271e-10       2.422506703499e-11 
   23       1.289852402338e-10       2.339805890527e-10       2.247133319890e-11 
   24       1.310618118607e-10       2.164660370073e-10       2.092046327444e-11 
   25       1.331934672851e-10       2.007820685607e-10       1.953434055799e-11 
   26       1.353550244334e-10       1.866418540402e-10       1.825537560516e-11 
   27       1.375529116153e-10       1.738735297571e-10       1.708373508706e-11 
   28       1.397931601852e-10       1.622547523009e-10       1.602784188369e-11 
   29       1.420828446551e-10       1.517247745239e-10       1.508217096601e-11 
   30       1.444163940267e-10       1.421691050666e-10       1.422550743037e-11 
   31       1.467778574182e-10       1.333910923467e-10       1.342883427871e-11 
   32       1.491715127723e-10       1.253444052255e-10       1.268756624592e-11 
   33       1.516001198554e-10       1.179712191553e-10       1.199989877364e-11 
   34       1.540589799731e-10       1.111672497819e-10       1.136038370604e-11 
   35       1.565473754039e-10       1.048969597169e-10       1.076881879644e-11 
   36       1.590593328439e-10       9.910932651858e-11       1.022369239101e-11 
   37       1.615852013648e-10       9.372819810990e-11       9.720781060000e-12 
   38       1.641307398351e-10       8.873923058423e-11       9.257710791450e-12 
   39       1.667032162853e-10       8.412621318321e-11       8.830367712603e-12 
   40       1.693056648041e-10       7.984463793044e-11       8.431324320505e-12 
   41       1.719379880317e-10       7.583710731356e-11       8.052254543979e-12 
   42       1.746018875563e-10       7.209151551318e-11       7.692786083624e-12 
   43       1.772967044348e-10       6.859765804622e-11       7.354066562464e-12 
   44       1.800175810073e-10       6.532977988661e-11       7.036233332082e-12 
   45       1.827581750464e-10       6.225570667829e-11       6.738645346736e-12 
   46       1.855206797207e-10       5.937040669598e-11       6.460874193756e-12 
   47       1.883081423912e-10       5.667035984964e-11       6.201855773609e-12 
   48       1.911214222084e-10       5.414343891106e-11       5.959524003716e-12 
   49       1.939589825354e-10       5.176827043182e-11       5.730739092339e-12 
   50       1.968184178710e-10       4.952063597015e-11       5.512181491928e-12 
   51       1.997020048156e-10       4.739620683440e-11       5.303486228788e-12 
   52       2.026122990414e-10       4.539287573622e-11       5.104835368787e-12 
   53       2.055504095165e-10       4.350395536753e-11       4.916041037703e-12 
   54       2.085158725505e-10       4.171787062713e-11       4.736519138853e-12 
   55       2.115075714636e-10       4.002166634674e-11       4.565535719742e-12 
   56       2.145270516813e-10       3.841325597925e-11       4.403077952853e-12 
